Τελευταία Ενημέρωση;Τρίτη, 22 Ιουλίου 2014 16:05;;;;;;
Κωδικός;Περιγραφή;Τιμή;Last Import;Barcode;Κατηγορία;Συν. Διαθέσιμο Απόθεμα;Συνολικό Απόθεμα
104062;ΣΚΙΑ ΜΟΝΗ 104062 BRUSHED COPER;5,95;;5205103009676;ΚΑΛΛΥΝΤΙΚΑ;-1;0
104063;ΣΚΙΑ ΜΟΝΗ 104063 CRYSTAL TEA;5,95;16/03/2010;5205103009683;ΚΑΛΛΥΝΤΙΚΑ;121;121
104063t;TESTER 104063t ΣΚΙΑ ΜΟΝΗ 11;0,01;;5205103236348;TESTERS;-1;0
104064;ΣΚΙΑ ΜΟΝΗ 104064 SILVER QUEEN;5,95;10/10/2013;5205103009690;ΚΑΛΛΥΝΤΙΚΑ;3;4
104065;ΣΚΙΑ ΜΟΝΗ 104065 MOONLIGHT;5,95;;5205103009706;ΚΑΛΛΥΝΤΙΚΑ;-1;0
104070t;TESTER 104070t POWDER 001;0,01;26/11/2010;5205103236324;TESTERS;4;4
104071t;TESTER 104071t ΠΟΥΔΡΑ 002;0,01;02/01/2012;5205103233569;TESTERS;23;23
104072t;TESTER 104072t ΠΟΥΔΡΑ 003;0,69;02/01/2012;5205103233576;TESTERS;33;33
104076;ΛΙΠ-ΓΚΛΟΣ 104076 CRYSTAL110 5ml GLASS;5,45;08/10/2013;5205103009812;ΚΑΛΛΥΝΤΙΚΑ;4;4
104079;ΛΙΠ-ΓΚΛΟΣ 104079 RASPBERRY 5ml;5,45;26/11/2010;5205103009843;ΚΑΛΛΥΝΤΙΚΑ;191;191
104081t;TESTER 104081t LIPGLOSS GOLDEN RUST NO10;0,01;12/01/2010;5205103242974;TESTERS;7;7
104084;ΚΡΑΓΙΟΝ 104084 ORANGE PEARL;7,95;23/12/2009;5205103009898;ΚΑΛΛΥΝΤΙΚΑ;113;114
104113;ΣΚΙΑ ΜΟΝΗ 104113 MAUVE GLAZE;5,95;02/01/2012;5205103010184;ΚΑΛΛΥΝΤΙΚΑ;404;406
104113t;TESTER 104113t ΣΚΙΑ ΜΟΝΗ 15;0,01;24/02/2012;5205103236577;TESTERS;84;84
104114;ΜΟΛΥΒΙ ΜΑΤΙΩΝ 106;3,45;;5205103010191;ΚΑΛΛΥΝΤΙΚΑ;-3;0
104115;ΜΟΛΥΒΙ ΜΑΤΙΩΝ 107;3,45;26/11/2010;5205103010207;ΚΑΛΛΥΝΤΙΚΑ;245;245
104116;ΜΟΛΥΒΙ ΜΑΤΙΩΝ 108;3,45;05/02/2014;5205103010214;ΚΑΛΛΥΝΤΙΚΑ;0;0
104117;ΜΟΛΥΒΙ ΜΑΤΙΩΝ 109;3,45;05/02/2014;5205103010221;ΚΑΛΛΥΝΤΙΚΑ;0;0
104118;ΜΟΛΥΒΙ ΜΑΤΙΩΝ 110;3,45;26/11/2010;5205103010238;ΚΑΛΛΥΝΤΙΚΑ;411;416
104120;ΜΟΛΥΒΙ 104120 ΧΕΙΛΙΩΝ Νο102;3,45;04/01/2010;5205103010252;ΚΑΛΛΥΝΤΙΚΑ;207;207
104121;ΜΟΛΥΒΙ ΧΕΙΛΙΩΝ 103;3,45;05/02/2014;5205103010269;ΚΑΛΛΥΝΤΙΚΑ;0;0
104122;ΜΟΛΥΒΙ ΧΕΙΛΙΩΝ 104;3,45;05/02/2014;5205103010276;ΚΑΛΛΥΝΤΙΚΑ;0;0
104123;ΜΟΛΥΒΙ ΧΕΙΛΙΩΝ 105;3,45;05/02/2014;5205103010283;ΚΑΛΛΥΝΤΙΚΑ;0;0
104872;ΚΑΠΕΛΟ ΠΑΙΔΙΚΟ 104872;15,08;28/01/2009;5205103015882;ΑΞΕΣΟΥΑΡ;3;3
105892;ΠΟΥΔΡΑ 105892 ΣΩΜΑΤΟΣ ΜΠΕΖ    ASTRAL POW;11,95;06/05/2009;5205103026109;ΚΑΛΛΥΝΤΙΚΑ;29;34
105896;ΣΚΙΑ 105896 LIME LIGHT;5,95;26/11/2010;5205103026147;ΚΑΛΛΥΝΤΙΚΑ;217;220
